episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,episode_reward_max_adapt_1,episode_reward_mean_adapt_1,episode_reward_min_adapt_1,adaptation_delta,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,info/num_steps_sampled,info/num_steps_trained_this_iter,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/kl_loss,info/learner/default_policy/learner_stats/inner_kl,info/learner/default_policy/learner_stats/entropy
-192.6999999999996,-453.89999999999975,-324.0999999999997,nan,0,2,800,800,0,-357.7,-877.325,-1131.8000000000004,-553.2250000000004,False,0,1,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-25,1651512805,8.507408142089844,8.507408142089844,74326,Myless-MBP.lan,127.0.0.1,8.507408142089844,800,1,[],[],800,800,800,74.37500000000001,95.74166666666667,0.0,"[0.0005, 0.0005]",0.0005,11438.2265625,0.11457760632038116,22876.681640625,0.005004598293453455,"[0.0037382650189101696, 0.0046704793348908424]",5.057584762573242
-265.20000000000005,-843.5999999999991,-429.59999999999985,nan,0,2,1600,800,0,-322.7000000000004,-476.1999999999996,-764.8999999999987,-46.59999999999974,False,0,2,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-27,1651512807,2.4258182048797607,10.933226346969604,74326,Myless-MBP.lan,127.0.0.1,10.933226346969604,1600,2,[],[],1600,800,1600,80.3,95.7,0.0,"[0.00025, 0.00025]",0.0005,34682.234375,0.11306460946798325,69364.6953125,0.01427951268851757,"[0.013221599161624908, 0.010767205618321896]",5.027789115905762
-196.7999999999997,-1067.2000000000012,-453.4250000000002,nan,0,2,2400,800,0,-678.7000000000014,-853.8500000000008,-1011.8000000000014,-400.42500000000064,False,0,3,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-30,1651512810,3.0465362071990967,13.979762554168701,74326,Myless-MBP.lan,127.0.0.1,13.979762554168701,2400,3,[],[],2400,800,2400,78.825,95.67500000000001,0.0,"[0.00025, 0.00025]",0.0005,33222.671875,0.10043775290250778,66445.5390625,0.017212601378560066,"[0.018718194216489792, 0.008204452693462372]",4.99002742767334
-175.79999999999976,-901.6999999999999,-512.3000000000001,nan,0,2,3200,800,0,-251.69999999999965,-665.0,-944.4999999999989,-152.69999999999993,False,0,4,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-33,1651512813,2.6324551105499268,16.612217664718628,74326,Myless-MBP.lan,127.0.0.1,16.612217664718628,3200,4,[],[],3200,800,3200,76.53333333333335,95.63333333333333,0.0,"[0.0005, 0.00025]",0.0005,40556.3671875,0.1097506433725357,81112.953125,0.02013402245938778,"[0.008943881839513779, 0.021308807656168938]",4.93611478805542
-268.19999999999965,-1109.4,-838.9999999999998,nan,0,2,4000,800,0,-187.89999999999978,-477.1000000000002,-773.8000000000014,361.8999999999996,False,0,5,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-35,1651512815,2.4901418685913086,19.102359533309937,74326,Myless-MBP.lan,127.0.0.1,19.102359533309937,4000,5,[],[],4000,800,4000,74.52499999999999,95.625,0.0,"[0.0005, 0.0005]",0.0005,95214.609375,0.12312448024749756,190429.46875,0.022546768188476562,"[0.0231999009847641, 0.01088712364435196]",4.909266471862793
-250.79999999999967,-1085.6000000000008,-694.8000000000006,nan,0,2,4800,800,0,-646.2,-848.4499999999998,-1068.0,-153.64999999999918,False,0,6,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-38,1651512818,2.585466146469116,21.687825679779053,74326,Myless-MBP.lan,127.0.0.1,21.687825679779053,4800,6,[],[],4800,800,4800,79.5,95.60000000000001,0.0,"[0.001, 0.0005]",0.0005,66769.4375,0.11320318281650543,133539.09375,0.018825659528374672,"[0.014265995472669601, 0.015317924320697784]",4.895992755889893
-578.3,-948.2000000000008,-778.6750000000004,nan,0,2,5600,800,0,-240.5000000000004,-595.8250000000007,-1004.0000000000014,182.84999999999968,False,0,7,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-41,1651512821,2.6611859798431396,24.349011659622192,74326,Myless-MBP.lan,127.0.0.1,24.349011659622192,5600,7,[],[],5600,800,5600,78.7,95.5,0.0,"[0.001, 0.001]",0.0005,82230.1875,0.11551393568515778,164460.59375,0.03550685942173004,"[0.023999549448490143, 0.02268712781369686]",4.743704795837402
-781.8000000000013,-1087.3,-1000.6000000000004,nan,0,2,6400,800,0,-203.09999999999985,-800.3250000000004,-1154.1000000000004,200.27499999999998,False,0,8,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-45,1651512825,4.689957857131958,29.03896951675415,74326,Myless-MBP.lan,127.0.0.1,29.03896951675415,6400,8,[],[],6400,800,6400,91.5,95.48333333333333,0.0,"[0.002, 0.002]",0.0005,116991.8359375,0.11843360960483551,233983.90625,0.028023216873407364,"[0.0214375089854002, 0.01840146631002426]",4.760777473449707
-189.7999999999997,-1148.8000000000004,-743.0250000000005,nan,0,2,7200,800,0,-194.3999999999997,-678.425,-1140.7,64.60000000000059,False,0,9,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-49,1651512829,3.4650611877441406,32.50403070449829,74326,Myless-MBP.lan,127.0.0.1,32.50403070449829,7200,9,[],[],7200,800,7200,90.62,95.76,0.0,"[0.004, 0.004]",0.0005,73810.953125,0.11323525011539459,147622.125,0.03760898858308792,"[0.02167091891169548, 0.02892274595797062]",4.617810249328613
-529.8000000000003,-1146.9,-945.8250000000003,nan,0,2,8000,800,0,-718.3000000000002,-943.5750000000004,-1115.7000000000005,2.2499999999998863,False,0,10,ef42d_00000,56a6e365b63e48c4a26ebd487003ecf8,2022-05-02_18-33-52,1651512832,3.1015589237213135,35.605589628219604,74326,Myless-MBP.lan,127.0.0.1,35.605589628219604,8000,10,[],[],8000,800,8000,86.875,95.75,0.0,"[0.008, 0.008]",0.0005,101635.0078125,0.1260857880115509,203270.28125,0.030020833015441895,"[0.02032528631389141, 0.0187161136418581]",4.671506404876709
